uid,from_uid,D_target Size,Dropout,L2-Regularization,AUC Score
0,,2500,0,0,0.7615311999999999
1,,2500,0,0.001,0.7088025600000001
2,,2500,0,0.01,0.5750892000000001
3,,2500,0,0.1,0.49783464
4,,2500,0.1,0,0.63121904
5,,2500,0.1,0.001,0.65700976
6,,2500,0.1,0.01,0.54384488
7,,2500,0.1,0.1,0.49624512
8,,2500,0.15,0,0.626146
9,,2500,0.15,0.001,0.59575848
10,,2500,0.15,0.01,0.5274822400000001
11,,2500,0.15,0.1,0.49533896
12,,2500,0.2,0,0.55419344
13,,2500,0.2,0.001,0.6301259200000001
14,,2500,0.2,0.01,0.54795856
15,,2500,0.2,0.1,0.50002704
16,,2500,0.33,0,0.53576608
17,,2500,0.33,0.001,0.53461224
18,,2500,0.33,0.01,0.53051984
19,,2500,0.33,0.1,0.50036632
20,,5000,0,0,0.72601726
21,,5000,0,0.001,0.7107145399999999
22,,5000,0,0.01,0.56680226
23,,5000,0,0.1,0.50324632
24,,5000,0.1,0,0.6995182999999999
25,,5000,0.1,0.001,0.6460994999999999
26,,5000,0.1,0.01,0.53365168
27,,5000,0.1,0.1,0.50119006
28,,5000,0.15,0,0.60726998
29,,5000,0.15,0.001,0.59824956
30,,5000,0.15,0.01,0.5248212000000001
31,,5000,0.15,0.1,0.49930821999999997
32,,5000,0.2,0,0.59038262
33,,5000,0.2,0.001,0.57540862
34,,5000,0.2,0.01,0.5199290599999999
35,,5000,0.2,0.1,0.50025906
36,,5000,0.33,0,0.5252353
37,,5000,0.33,0.001,0.54144354
38,,5000,0.33,0.01,0.50646982
39,,5000,0.33,0.1,0.49972911999999997
40,,7500,0,0,0.6831297866666667
41,,7500,0,0.001,0.6757397244444444
42,,7500,0,0.01,0.5426630133333333
43,,7500,0,0.1,0.5068578044444445
44,,7500,0.1,0,0.6284309422222223
45,,7500,0.1,0.001,0.6355308888888889
46,,7500,0.1,0.01,0.5260582755555555
47,,7500,0.1,0.1,0.5029861600000001
48,,7500,0.15,0,0.5941998577777778
49,,7500,0.15,0.001,0.6187885688888889
50,,7500,0.15,0.01,0.5215177511111111
51,,7500,0.15,0.1,0.5051309511111112
52,,7500,0.2,0,0.5544125422222222
53,,7500,0.2,0.001,0.5794015377777778
54,,7500,0.2,0.01,0.5167194311111112
55,,7500,0.2,0.1,0.50558488
56,,7500,0.33,0,0.5147530222222223
57,,7500,0.33,0.001,0.5187090933333334
58,,7500,0.33,0.01,0.50892152
59,,7500,0.33,0.1,0.5052258222222222
